ItemCode,ItemName,ds,y,inventario
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-03-01,12.0,327.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-04-01,8.0,207.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-05-01,66.0,141.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-06-01,0.0,141.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-07-01,30.0,208.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-08-01,12.0,196.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-09-01,0.0,193.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-10-01,-60.0,253.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-11-01,6.0,247.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-12-01,12.0,235.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-01-01,6.0,229.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-02-01,13.0,216.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-03-01,1.0,215.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2025-04-01,28.0,461.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2025-05-01,68.0,393.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2025-06-01,0.0,393.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2024-07-01,0.0,610.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2024-08-01,24.0,586.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2024-09-01,0.0,586.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2024-10-01,12.0,574.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2024-11-01,12.0,562.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2024-12-01,12.0,550.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2025-01-01,11.0,539.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2025-02-01,21.0,518.0
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,2025-03-01,24.0,493.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2025-04-01,31.0,1578.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2025-05-01,12.0,1566.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2025-06-01,0.0,1566.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2024-07-01,12.0,1662.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2024-08-01,33.0,1634.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2024-09-01,0.0,1647.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2024-10-01,12.0,1635.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2024-11-01,0.0,1635.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2024-12-01,12.0,1621.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2025-01-01,0.0,1621.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2025-02-01,12.0,1609.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,2025-03-01,0.0,1609.0
ACEI-EIFFEL-SINT-0013,ACEITE 10W30 GARRAFA GASO. F/SINT/PRESTI ULTIMATE EIFFEL,2025-04-01,32.0,218.0
