Codigo,Descripcion,No. Fabricante,In Stock,Pedido,Total,Tipo,Mes_1,Mes_2,Mes_3,Mes_4,Mes_5,Mes_6,Mes_7,Mes_8,Mes_9,Mes_10,Mes_11,Mes_12,Demanda 4 meses,Demanda 5 meses,Demanda 6 meses,Pedido Sugerido 4 meses,Pedido Sugerido 5 meses,Pedido Sugerido 6 meses
ACEI-EIFFEL-SSINT-0003,ACEITE 10W30 LTS GASL.S/SINT/PRESTI SILVER EIFFEL,,434.0,0.0,218.0,VENTA,24.0,36.0,0.0,13.0,13.0,0.0,4.0,0.0,12.0,25.0,60.0,0.0,13.36900079,25.94154479,32.81818509,0.0,0.0,0.0
ACEI-EIFFEL-SSINT-0003,ACEITE 10W30 LTS GASL.S/SINT/PRESTI SILVER EIFFEL,0.0,0.0,0.0,,INVENTARIO,588.0,552.0,540.0,527.0,514.0,523.0,519.0,519.0,519.0,494.0,434.0,434.0,13.36900079,25.94154479,32.81818509,,,
ACEI-EIFFEL-SSINT-0004,ACEITE 10W30 GARRAFA GASO. S/SINT/PRESTI SILVER EIFFEL API SP,,199.0,0.0,124.0,VENTA,0.0,18.0,0.0,0.0,2.0,1.0,2.0,-2.0,2.0,9.0,50.0,0.0,0.0025757448,0.003219681,0.0038636172,0.0,0.0,0.0
ACEI-EIFFEL-SSINT-0004,ACEITE 10W30 GARRAFA GASO. S/SINT/PRESTI SILVER EIFFEL API SP,0.0,0.0,0.0,,INVENTARIO,300.0,282.0,280.0,280.0,278.0,277.0,257.0,259.0,258.0,249.0,199.0,199.0,0.0025757448,0.003219681,0.0038636172,,,
ACEI-EIFFEL-SSINT-0006,ACEITE 15W40 GARRAFA DIESEL  S/SINT/VISTA TITANIUM EIFFEL,,315.0,0.0,525.0,VENTA,12.0,66.0,0.0,-54.0,42.0,24.0,0.0,0.0,12.0,25.0,43.0,0.0,71.99771497768,71.99857468632,71.99943439495999,0.0,0.0,0.0
ACEI-EIFFEL-SSINT-0006,ACEITE 15W40 GARRAFA DIESEL  S/SINT/VISTA TITANIUM EIFFEL,0.0,0.0,0.0,,INVENTARIO,192.0,126.0,119.0,173.0,131.0,107.0,107.0,395.0,383.0,358.0,315.0,315.0,71.99771497768,71.99857468632,71.99943439495999,,,
ACEI-EIFFEL-SSINT-0010,ACEITE 15W40 CUBETA DIESEL S/SINT/VISTA TIANIUM EIFFEL,,247.0,0.0,738.0,VENTA,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.00095578592,22.99833578592,34.998483785920016,0.0,0.0,0.0
ACEI-EIFFEL-SSINT-0010,ACEITE 15W40 CUBETA DIESEL S/SINT/VISTA TIANIUM EIFFEL,0.0,0.0,0.0,,INVENTARIO,23.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,248.0,247.0,247.0,0.00095578592,22.99833578592,34.998483785920016,,,
ACEI-EIFFEL-SSINT-0016,ACEITE 10W40 LTS GASO/DIESEL S/SINT/PRESTI ULTIMATE  EIFFEL,,521.0,0.0,437.0,VENTA,4.0,72.0,0.0,0.0,0.0,5.0,0.0,-10.0,17.0,1.0,23.0,0.0,287.992584,359.99073000000004,431.98887600000006,0.0,210.98331400000006,354.9796060000001
ACEI-EIFFEL-SSINT-0016,ACEITE 10W40 LTS GASO/DIESEL S/SINT/PRESTI ULTIMATE  EIFFEL,0.0,0.0,0.0,,INVENTARIO,606.0,534.0,554.0,554.0,554.0,549.0,552.0,562.0,545.0,544.0,521.0,521.0,287.992584,359.99073000000004,431.98887600000006,,,
ACEI-EUROL-ATF-0001,ACEITE ATF III MINERAL 5 LTS EUROL,,111.0,0.0,111.0,VENTA,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0526982583,4.05308037687,4.05346249544,0.0,0.0,0.0
ACEI-EUROL-ATF-0001,ACEITE ATF III MINERAL 5 LTS EUROL,0.0,0.0,0.0,,INVENTARIO,0.0,0.0,120.0,120.0,116.0,116.0,116.0,114.0,112.0,112.0,111.0,111.0,4.0526982583,4.05308037687,4.05346249544,,,
ACEI-EUROL-ATF-0002,ACEITE ATF CVT 1304 FUL SINTETICO 5 LTS EUROL,,118.0,0.0,118.0,VENTA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.99970263565,1.0000269642,1.00035129275,0.0,0.0,0.0
ACEI-EUROL-ATF-0002,ACEITE ATF CVT 1304 FUL SINTETICO 5 LTS EUROL,0.0,0.0,0.0,,INVENTARIO,0.0,0.0,120.0,120.0,120.0,119.0,119.0,119.0,118.0,118.0,118.0,118.0,0.99970263565,1.0000269642,1.00035129275,,,
